Timestamp,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
12:02.0,-5.945951939,-4.91782093,3.022623539,1.066825986,1.313670397,-1.033652797
12:02.0,-6.059957981,-4.925476551,1.539915562,0.800285459,1.347346693,-1.481436744
12:02.0,-5.234511375,-5.580915928,0.396768957,1.287239552,1.975962877,-2.367132634
12:02.0,-4.725435734,-4.324587345,-1.49303627,1.444375217,2.301630914,-2.059667677
12:02.0,-2.65984273,-4.910782814,-2.573868036,2.873163164,2.886850417,-1.575338185
12:02.0,-1.941759586,-4.977544785,-3.504519701,2.787852347,2.642846465,-1.010182679
12:02.0,-2.127929926,-4.02619648,-4.483155251,2.013118953,1.921135306,-0.650609374
12:02.0,-0.765152514,-3.095439672,-5.466625214,1.552244157,1.537254393,-0.182912141
12:02.0,0.889778614,-2.383222818,-6.464651585,1.147079196,1.381858706,-0.251515508
12:02.0,1.245909929,-1.816160917,-6.923260212,1.271852121,1.01488471,-0.144734502
12:02.1,1.540194511,-0.86550796,-7.949139118,1.532657325,1.304268181,0.149149925
12:02.1,1.607165813,-2.67326498,-7.959647179,2.440617979,1.768350363,-0.149357706
12:02.1,-0.79652971,-2.605503559,-8.745265007,2.367652118,1.828715742,0.149820954
12:02.1,-1.065953135,-1.745350122,-9.464525223,2.194267988,1.715543032,0.395089984
12:02.1,0.765361607,-1.562901974,-9.158813477,1.877404451,0.691863794,0.205132961
12:02.1,2.837967634,-1.565548897,-8.291913986,1.388619304,-0.269925699,0.371346474
12:02.1,4.252520561,-2.221210718,-5.835550308,1.05680126,-1.674937695,0.745155409
12:02.1,3.386437654,-1.853585124,-1.76369822,0.387702942,-3.332483828,0.868506409
12:02.1,2.794964314,0.860805392,1.144931078,0.981116951,-4.017542362,1.362585499
12:02.1,2.263126135,3.928164721,3.034346819,1.058235228,-3.635371029,1.809668297
12:02.1,0.128566056,4.793213844,4.103827477,1.343834162,-1.850704104,1.56415537
12:02.1,-1.268867254,6.360651016,4.984920979,1.802269816,-0.47604081,0.723580241
12:02.2,-4.006669044,7.835999489,5.947709084,2.194801569,0.926636979,0.073008507
12:02.2,-6.484730721,7.310382366,7.201070309,2.494086623,1.862456128,-0.055758774
12:02.2,-5.072019577,7.184330463,7.709505081,2.341176331,2.22774899,-0.23897022
12:02.2,-3.75266552,6.534313202,8.26926899,2.401171252,2.443338454,-0.50725013
12:02.2,-4.304824352,6.061202049,8.094550133,2.258239292,2.053780496,-0.276888728
12:02.2,-4.129454136,4.864812851,6.811950207,2.094006211,1.277397633,0.732845128
12:02.2,-3.285800934,4.155623436,5.948272705,2.161188722,1.598915815,0.869150668
12:02.2,-2.315198183,3.709138393,4.681973457,2.059609413,1.909753144,0.108956397
12:02.2,-2.402764797,2.955773354,2.929538488,1.706291199,2.095376968,-0.992256165
12:02.2,-4.424705029,1.566624284,1.43960166,1.186606884,2.220346808,-1.143471919
12:02.2,-3.873554707,0.223773941,0.807933152,0.854163229,3.730036378,-2.701959874
12:02.2,-3.297399998,-1.380924225,-2.343829632,1.17626065,4.668878555,-3.201167528
12:02.3,-1.961410999,-4.837251663,-5.377708912,1.937171578,5.769051433,-3.492945313
12:02.3,0.453841895,-4.929472446,-7.053616047,2.350732088,5.274269044,-1.448694132
